41, 275, 119, 285
123, 275, 174, 285
183, 277, 188, 285
40, 259, 70, 269
75, 259, 114, 269
119, 259, 157, 270
41, 243, 129, 253
41, 227, 70, 237
75, 227, 136, 237
39, 167, 74, 195
84, 163, 111, 187
121, 159, 183, 187
38, 125, 174, 156
506, 122, 512, 131
516, 122, 521, 131
527, 122, 549, 133
559, 122, 590, 133
597, 123, 625, 131
629, 124, 647, 133
651, 124, 656, 133
506, 70, 578, 87
586, 71, 667, 87
506, 93, 557, 118
567, 93, 605, 115
614, 94, 650, 113
659, 98, 667, 112
533, 37, 636, 55
40, 85, 107, 119
117, 91, 174, 118
44, 20, 63, 28
91, 20, 171, 31
45, 7, 50, 15
56, 9, 67, 17
74, 7, 117, 16
124, 8, 129, 15
133, 7, 155, 15
162, 6, 180, 17
507, 211, 558, 230
566, 210, 636, 235
649, 217, 659, 226
507, 186, 608, 205
617, 185, 648, 205
591, 258, 672, 277
